City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Saint-Leu,-21.15,55.2833,70.63,68,30,14.25,RE,scattered clouds,2021-05-21 23:05:46
1,Rudnogorsk,57.2639,103.7519,38.5,41,63,2.26,RU,broken clouds,2021-05-21 23:05:46
2,Sao Joao Da Barra,-21.6403,-41.0511,73.09,87,7,8.99,BR,clear sky,2021-05-21 23:04:47
3,Verkhoyansk,67.5447,133.385,38.3,54,23,7.65,RU,few clouds,2021-05-21 23:05:46
4,Bealanana,-14.55,48.7333,54.0,96,64,3.71,MG,broken clouds,2021-05-21 23:05:47
5,Hermanus,-34.4187,19.2345,52.9,66,24,4.63,ZA,few clouds,2021-05-21 23:05:47
6,Vanimo,-2.6741,141.3028,81.61,81,100,2.39,PG,overcast clouds,2021-05-21 23:05:47
7,Shenjiamen,29.9576,122.298,64.71,91,100,5.66,CN,light rain,2021-05-21 23:05:47
8,Aykhal,66.0,111.5,28.4,86,58,3.09,RU,broken clouds,2021-05-21 23:05:48
9,Camana,-16.6228,-72.7111,64.38,83,92,10.11,PE,overcast clouds,2021-05-21 23:05:48
10,Lompoc,34.6391,-120.4579,70.57,64,75,16.11,US,broken clouds,2021-05-21 23:05:48
11,Castro,-24.7911,-50.0119,59.4,66,3,4.27,BR,clear sky,2021-05-21 23:05:49
12,Glendive,47.1053,-104.7125,41.7,87,90,10.36,US,light rain,2021-05-21 23:01:18
13,Rikitea,-23.1203,-134.9692,76.26,59,30,9.53,PF,scattered clouds,2021-05-21 23:05:49
14,Arraial Do Cabo,-22.9661,-42.0278,73.11,86,27,10.45,BR,scattered clouds,2021-05-21 23:03:13
15,Udachnyy,66.4167,112.4,29.77,88,45,2.44,RU,scattered clouds,2021-05-21 23:05:49
16,Suhut,38.5311,30.5458,46.31,75,82,6.2,TR,broken clouds,2021-05-21 23:05:50
17,Dikson,73.5069,80.5464,26.04,93,97,7.47,RU,overcast clouds,2021-05-21 23:05:50
18,Albany,42.6001,-73.9662,83.01,78,83,2.51,US,broken clouds,2021-05-21 23:05:20
19,Mataura,-46.1927,168.8643,49.48,67,57,2.75,NZ,broken clouds,2021-05-21 23:05:50
20,Samarai,-10.6167,150.6667,79.99,82,89,15.79,PG,overcast clouds,2021-05-21 23:05:51
21,Puerto Ayora,-0.7393,-90.3518,75.54,88,37,8.01,EC,scattered clouds,2021-05-21 23:03:51
22,Ahipara,-35.1667,173.1667,61.07,72,100,12.37,NZ,moderate rain,2021-05-21 23:05:51
23,Bethel,41.3712,-73.414,79.25,48,1,6.91,US,clear sky,2021-05-21 23:03:14
24,Talpa,28.8257,-111.6257,96.57,38,85,5.99,MX,overcast clouds,2021-05-21 23:05:51
25,Lorengau,-2.0226,147.2712,84.15,69,72,5.19,PG,broken clouds,2021-05-21 23:01:15
26,Touros,-5.1989,-35.4608,76.1,79,5,12.01,BR,clear sky,2021-05-21 23:05:29
27,Xining,36.6167,101.7667,53.11,70,100,1.59,CN,overcast clouds,2021-05-21 23:05:52
28,Iqaluit,63.7506,-68.5145,25.7,63,99,8.99,CA,overcast clouds,2021-05-21 23:05:52
29,Bubaque,11.2833,-15.8333,78.33,82,22,15.77,GW,few clouds,2021-05-21 23:05:53
30,Khasan,42.4308,130.6434,56.77,74,42,2.21,RU,scattered clouds,2021-05-21 23:05:53
31,Whakatane,-37.9585,176.9854,62.65,87,100,5.99,NZ,overcast clouds,2021-05-21 23:05:54
32,Khatanga,71.9667,102.5,20.75,91,23,1.21,RU,few clouds,2021-05-21 23:05:54
33,Lagos,6.5833,3.75,79.93,82,5,5.84,NG,clear sky,2021-05-21 23:05:54
34,Ushuaia,-54.8,-68.3,42.51,98,100,2.75,AR,overcast clouds,2021-05-21 23:05:54
35,Talnakh,69.4865,88.3972,30.2,97,100,13.67,RU,snow,2021-05-21 23:05:55
36,Santa Cruz,-17.8,-63.1667,77.23,71,78,16.37,BO,broken clouds,2021-05-21 23:05:48
37,New Norfolk,-42.7826,147.0587,51.93,69,21,1.01,AU,few clouds,2021-05-21 23:05:55
38,Ndende,-2.4008,11.3581,74.05,99,100,2.3,GA,light rain,2021-05-21 23:05:55
39,Shingu,33.7333,135.9833,65.91,86,100,3.85,JP,overcast clouds,2021-05-21 23:05:56
40,Butaritari,3.0707,172.7902,81.88,80,100,26.37,KI,overcast clouds,2021-05-21 23:05:56
41,San Quintin,30.4833,-115.95,63.73,57,0,24.94,MX,clear sky,2021-05-21 23:05:56
42,Koslan,63.4564,48.8989,55.9,93,90,7.99,RU,overcast clouds,2021-05-21 23:05:56
43,Palma Di Montechiaro,37.1926,13.765,59.61,78,99,3.8,IT,overcast clouds,2021-05-21 23:05:56
44,Busselton,-33.65,115.3333,57.04,77,100,11.54,AU,light rain,2021-05-21 23:05:57
45,Punta Arenas,-53.15,-70.9167,42.91,88,40,4.43,CL,scattered clouds,2021-05-21 23:05:57
46,Atbasar,51.8,68.3333,61.38,47,0,5.55,KZ,clear sky,2021-05-21 23:05:57
47,Sitka,57.0531,-135.33,49.89,81,90,8.05,US,moderate rain,2021-05-21 23:05:58
48,Dinghai,26.2847,119.7936,68.61,92,100,6.71,CN,overcast clouds,2021-05-21 23:05:58
49,Bitung,1.4451,125.1824,76.05,84,100,2.71,ID,overcast clouds,2021-05-21 23:05:58
50,Maceio,-9.6658,-35.7353,74.64,86,75,9.75,BR,broken clouds,2021-05-21 23:03:25
51,Lebu,-37.6167,-73.65,52.61,82,94,4.36,CL,overcast clouds,2021-05-21 23:05:58
52,Kaitangata,-46.2817,169.8464,52.93,64,26,6.87,NZ,scattered clouds,2021-05-21 23:05:59
53,Tasiilaq,65.6145,-37.6368,33.96,70,100,14.58,GL,overcast clouds,2021-05-21 23:05:59
54,Bredasdorp,-34.5322,20.0403,46.27,74,13,5.26,ZA,few clouds,2021-05-21 23:05:59
55,Cape Town,-33.9258,18.4232,53.11,63,25,2.48,ZA,scattered clouds,2021-05-21 23:03:08
56,Mae Sot,16.7167,98.5667,74.17,96,83,1.99,TH,broken clouds,2021-05-21 23:06:00
57,Atuona,-9.8,-139.0333,80.02,76,40,18.03,PF,scattered clouds,2021-05-21 23:02:44
58,Yellowknife,62.456,-114.3525,58.32,28,0,4.0,CA,clear sky,2021-05-21 23:06:00
59,Port Alfred,-33.5906,26.891,56.03,70,2,16.37,ZA,clear sky,2021-05-21 23:06:00
60,Thompson,55.7435,-97.8558,36.27,85,100,5.64,CA,overcast clouds,2021-05-21 23:04:18
61,Harbour Breton,47.4833,-55.7983,42.87,94,83,8.01,CA,broken clouds,2021-05-21 22:59:18
62,Provideniya,64.3833,-173.3,40.78,66,95,12.62,RU,overcast clouds,2021-05-21 22:59:18
63,Hakodate,41.7758,140.7367,53.91,94,75,18.41,JP,broken clouds,2021-05-21 22:59:18
64,Tuktoyaktuk,69.4541,-133.0374,44.6,57,1,23.02,CA,clear sky,2021-05-21 22:59:19
65,Kapaa,22.0752,-159.319,78.48,74,47,3.0,US,scattered clouds,2021-05-21 22:59:19
66,Surt,31.2089,16.5887,67.21,69,5,17.13,LY,clear sky,2021-05-21 22:55:06
67,Chifeng,42.2683,118.9636,72.0,42,55,11.12,CN,broken clouds,2021-05-21 22:59:19
68,Grand Gaube,-20.0064,57.6608,68.4,66,34,23.76,MU,scattered clouds,2021-05-21 22:59:20
69,Sisimiut,66.9395,-53.6735,30.49,78,100,19.71,GL,overcast clouds,2021-05-21 22:59:20
70,San Patricio,28.017,-97.5169,87.89,62,60,7.83,US,broken clouds,2021-05-21 22:59:20
71,Bluff,-46.6,168.3333,49.8,76,99,16.24,NZ,overcast clouds,2021-05-21 22:59:20
72,Hobart,-42.8794,147.3294,52.27,82,20,1.99,AU,few clouds,2021-05-21 22:59:21
73,Qaanaaq,77.484,-69.3632,25.21,85,16,1.36,GL,few clouds,2021-05-21 22:59:21
74,Kununurra,-15.7667,128.7333,64.38,94,1,0.0,AU,clear sky,2021-05-21 22:54:39
75,Cidreira,-30.1811,-50.2056,63.09,94,100,24.52,BR,heavy intensity rain,2021-05-21 22:59:21
76,Nikolskoye,59.7035,30.7861,48.09,89,92,10.98,RU,light rain,2021-05-21 22:59:21
77,Upernavik,72.7868,-56.1549,27.45,92,100,10.63,GL,overcast clouds,2021-05-21 22:59:22
78,Inhambane,-23.865,35.3833,70.63,87,60,0.94,MZ,light rain,2021-05-21 22:59:22
79,Broken Hill,-31.95,141.4333,51.51,58,98,9.22,AU,overcast clouds,2021-05-21 22:59:22
80,Padang,-0.9492,100.3543,77.05,84,99,3.24,ID,overcast clouds,2021-05-21 22:59:22
81,Trelew,-43.249,-65.3051,54.57,84,100,1.66,AR,overcast clouds,2021-05-21 22:59:23
82,Sinnamary,5.3833,-52.95,78.21,87,38,12.15,GF,light rain,2021-05-21 22:59:23
83,Tahta,26.7693,31.5021,81.16,29,0,16.13,EG,clear sky,2021-05-21 22:59:23
84,Hithadhoo,-0.6,73.0833,83.25,73,95,9.82,MV,overcast clouds,2021-05-21 22:59:23
85,Cabo San Lucas,22.8909,-109.9124,96.51,62,49,9.22,MX,scattered clouds,2021-05-21 22:59:24
86,Balkanabat,39.5108,54.3671,88.79,18,0,9.24,TM,clear sky,2021-05-21 22:59:24
87,Kavieng,-2.5744,150.7967,84.6,72,76,9.28,PG,broken clouds,2021-05-21 22:59:24
88,East London,-33.0153,27.9116,58.69,60,55,14.67,ZA,broken clouds,2021-05-21 22:59:24
89,Carnarvon,-24.8667,113.6333,53.67,87,81,6.91,AU,broken clouds,2021-05-21 22:59:25
90,Ambilobe,-13.2,49.05,65.86,87,1,3.44,MG,clear sky,2021-05-21 22:59:25
91,Vestmannaeyjar,63.4427,-20.2734,43.9,65,73,5.37,IS,broken clouds,2021-05-21 22:59:25
92,Elban,50.1018,136.5094,67.57,65,56,5.75,RU,broken clouds,2021-05-21 22:59:25
93,Port Moresby,-9.4431,147.1797,77.65,86,100,2.64,PG,overcast clouds,2021-05-21 22:59:26
94,Geraldton,-28.7667,114.6,57.61,78,97,6.06,AU,overcast clouds,2021-05-21 22:59:26
95,San Cristobal,7.7669,-72.225,80.78,74,94,3.24,VE,overcast clouds,2021-05-21 22:59:26
96,Vaini,-21.2,-175.2,82.56,83,75,13.8,TO,light rain,2021-05-21 22:59:32
97,Tura,25.5198,90.2201,73.56,93,45,1.61,IN,scattered clouds,2021-05-21 23:03:20
98,Sfantu Gheorghe,45.8667,25.7833,51.26,84,46,1.05,RO,scattered clouds,2021-05-21 23:03:20
99,Bambous Virieux,-20.3428,57.7575,72.0,69,41,19.33,MU,light rain,2021-05-21 23:03:21
100,Vlagtwedde,53.0275,7.1083,54.1,56,21,21.52,NL,few clouds,2021-05-21 23:03:21
101,Mar Del Plata,-38.0023,-57.5575,61.09,50,0,21.0,AR,clear sky,2021-05-21 22:59:11
102,Chuy,-33.6971,-53.4616,60.17,89,100,18.48,UY,moderate rain,2021-05-21 23:03:21
103,Roseburg,43.2165,-123.3417,60.91,45,90,4.61,US,overcast clouds,2021-05-21 23:03:21
104,Margate,51.3813,1.3862,52.3,71,100,4.0,GB,overcast clouds,2021-05-21 23:03:00
105,Galveston,29.3669,-94.9669,79.95,88,90,1.99,US,overcast clouds,2021-05-21 23:03:22
106,Cherskiy,68.75,161.3,34.16,77,99,13.62,RU,overcast clouds,2021-05-21 23:03:22
107,Urusha,54.05,122.9,40.01,63,100,7.0,RU,overcast clouds,2021-05-21 23:03:22
108,Vardo,70.3705,31.1107,33.84,98,100,26.13,NO,light snow,2021-05-21 23:03:08
109,Tyukhtet,56.5389,89.3011,38.41,82,84,5.19,RU,broken clouds,2021-05-21 23:03:23
110,Khilok,51.3674,110.4676,34.7,81,100,6.33,RU,overcast clouds,2021-05-21 23:03:23
111,Saint George,37.1041,-113.5841,66.79,14,1,21.0,US,clear sky,2021-05-21 22:58:47
112,Omboue,-1.5746,9.2618,76.8,92,100,4.61,GA,light rain,2021-05-21 23:03:23
113,Aberfeldy,56.62,-3.8645,43.59,89,99,9.91,GB,overcast clouds,2021-05-21 23:03:24
114,Zhigalovo,54.8097,105.1578,38.88,46,100,2.8,RU,overcast clouds,2021-05-21 23:03:24
115,Ishigaki,24.3448,124.1572,82.4,89,40,9.22,JP,scattered clouds,2021-05-21 23:00:08
116,Pisco,-13.7,-76.2167,69.03,82,4,6.91,PE,clear sky,2021-05-21 23:03:24
117,Opuwo,-18.0607,13.84,64.8,35,4,7.14,NA,clear sky,2021-05-21 23:03:24
118,Ribeira Grande,38.5167,-28.7,59.94,65,99,16.46,PT,overcast clouds,2021-05-21 23:03:25
119,Torbay,47.6666,-52.7314,60.89,72,50,18.05,CA,scattered clouds,2021-05-21 23:03:25
120,Dunedin,-45.8742,170.5036,51.98,59,10,5.91,NZ,clear sky,2021-05-21 22:59:49
121,Leshukonskoye,64.8989,45.7622,59.05,85,99,6.78,RU,overcast clouds,2021-05-21 23:03:25
122,Kavaratti,10.5669,72.642,81.93,75,97,4.88,IN,overcast clouds,2021-05-21 23:03:26
123,Jamestown,42.097,-79.2353,78.19,44,1,3.0,US,clear sky,2021-05-21 23:03:26
124,Ellensburg,46.9965,-120.5479,69.24,40,20,15.01,US,few clouds,2021-05-21 23:03:26
125,Bengkulu,-3.8004,102.2655,75.72,91,100,4.21,ID,light rain,2021-05-21 23:03:26
126,Antigonish,45.6169,-61.9986,65.14,57,25,7.0,CA,scattered clouds,2021-05-21 23:03:27
127,Orkney,-26.9802,26.6727,47.77,44,80,4.76,ZA,broken clouds,2021-05-21 23:03:27
128,Zlatoust,55.1711,59.6508,52.68,91,62,3.15,RU,broken clouds,2021-05-21 23:03:27
129,Sindor,62.8629,51.8905,57.02,91,96,8.68,RU,overcast clouds,2021-05-21 22:59:31
130,Ambon,-3.6954,128.1814,75.34,85,40,13.38,ID,light rain,2021-05-21 23:03:28
131,Gasa,31.5,34.4667,69.78,80,0,9.17,PS,clear sky,2021-05-21 23:03:28
132,Bahar,34.9072,48.4414,65.44,28,68,5.46,IR,broken clouds,2021-05-21 23:03:28
133,Fairbanks,64.8378,-147.7164,58.6,55,100,1.01,US,overcast clouds,2021-05-21 23:00:32
134,Turek,52.0155,18.5005,52.97,73,100,13.27,PL,overcast clouds,2021-05-21 23:03:28
135,Denpasar,-8.65,115.2167,76.66,81,20,6.87,ID,few clouds,2021-05-21 23:03:29
136,Maniitsoq,65.4167,-52.9,32.94,82,100,29.33,GL,overcast clouds,2021-05-21 23:03:29
137,Lewisporte,49.2499,-55.0482,48.29,84,64,5.08,CA,broken clouds,2021-05-21 23:03:29
138,Te Anau,-45.4167,167.7167,46.38,75,31,0.72,NZ,scattered clouds,2021-05-21 23:03:29
139,Hay River,60.8156,-115.7999,57.94,39,19,7.23,CA,few clouds,2021-05-21 23:00:11
140,Bambari,5.768,20.6757,74.32,83,68,4.76,CF,light rain,2021-05-21 23:03:30
141,Muslyumovo,55.3033,53.1947,60.26,80,71,6.08,RU,broken clouds,2021-05-21 23:03:30
142,Christchurch,-43.5333,172.6333,58.03,85,13,1.01,NZ,few clouds,2021-05-21 23:03:30
143,Woodward,36.4337,-99.3904,83.43,41,1,19.71,US,clear sky,2021-05-21 23:03:30
144,Kodiak,57.79,-152.4072,45.91,76,90,9.22,US,light rain,2021-05-21 23:03:31
145,Omaruru,-21.4333,15.9333,62.56,40,0,5.93,NA,clear sky,2021-05-21 23:03:31
146,Karratha,-20.7377,116.8463,70.92,20,0,7.43,AU,clear sky,2021-05-21 23:03:31
147,Avarua,-21.2078,-159.775,78.85,73,90,13.8,CK,overcast clouds,2021-05-21 23:03:31
148,Nauta,-4.5061,-73.5757,75.34,96,63,1.39,PE,broken clouds,2021-05-21 23:03:32
149,Fortuna,40.5982,-124.1573,66.47,63,40,10.0,US,scattered clouds,2021-05-21 23:03:32
150,Hilo,19.7297,-155.09,82.27,86,90,9.22,US,moderate rain,2021-05-21 23:03:22
151,Georgetown,5.4112,100.3354,78.73,90,20,2.35,MY,few clouds,2021-05-21 23:01:06
152,Kano,12.0001,8.5167,90.81,15,76,6.24,NG,broken clouds,2021-05-21 23:03:32
153,Chernyshevskiy,63.0128,112.4714,42.64,42,42,1.97,RU,scattered clouds,2021-05-21 23:03:33
154,Mahebourg,-20.4081,57.7,72.03,70,45,19.17,MU,light rain,2021-05-21 23:03:33
155,Agirish,61.9247,63.0231,59.56,57,39,5.17,RU,scattered clouds,2021-05-21 23:03:33
156,Cullinan,-25.6709,28.5236,50.59,34,100,9.86,ZA,overcast clouds,2021-05-21 23:03:33
157,Tres Arroyos,-38.3739,-60.2798,53.46,86,100,12.12,AR,light rain,2021-05-21 23:03:34
158,Saldanha,-33.0117,17.9442,54.66,67,36,5.3,ZA,scattered clouds,2021-05-21 23:03:34
159,Bilokurakyne,49.5341,38.7307,52.25,89,95,9.04,UA,overcast clouds,2021-05-21 23:03:34
160,Saint-Augustin,51.226,-58.6502,43.12,92,100,14.36,CA,overcast clouds,2021-05-21 23:03:34
161,Irece,-11.3042,-41.8558,75.15,48,39,11.97,BR,scattered clouds,2021-05-21 22:59:10
162,Walvis Bay,-22.9575,14.5053,59.09,57,0,7.81,NA,clear sky,2021-05-21 23:03:35
163,Adrar,20.5022,-10.0711,90.99,12,14,8.84,MR,few clouds,2021-05-21 23:03:35
164,Port Lincoln,-34.7333,135.8667,60.48,36,2,8.59,AU,clear sky,2021-05-21 23:03:35
165,Saskylakh,71.9167,114.0833,18.54,96,91,1.28,RU,overcast clouds,2021-05-21 23:03:35
166,Kemise,10.7167,39.8667,69.64,29,35,6.62,ET,scattered clouds,2021-05-21 23:03:36
167,Simi,9.5667,-12.35,73.6,92,91,10.18,SL,moderate rain,2021-05-21 23:03:36
168,Qianan,44.9932,124.0581,72.54,45,37,17.47,CN,scattered clouds,2021-05-21 23:03:36
169,Los Llanos De Aridane,28.6585,-17.9182,65.95,63,0,17.2,ES,clear sky,2021-05-21 23:03:37
170,Carballo,43.213,-8.691,55.09,96,91,4.36,ES,overcast clouds,2021-05-21 23:03:37
171,Svetlyy,54.675,20.1347,48.25,94,81,11.32,RU,light rain,2021-05-21 23:03:37
172,Ust-Kuyga,70.0167,135.6,30.81,72,99,5.23,RU,overcast clouds,2021-05-21 23:03:37
173,Mitsamiouli,-11.3847,43.2844,77.92,69,0,11.01,KM,clear sky,2021-05-21 23:03:38
174,Avera,33.194,-82.5271,86.72,40,7,12.55,US,clear sky,2021-05-21 23:03:38
175,Muravlenko,63.7898,74.523,61.97,63,26,7.2,RU,scattered clouds,2021-05-21 23:03:38
176,Am Timan,11.0297,20.2827,85.15,50,80,8.66,TD,broken clouds,2021-05-21 23:03:39
177,Lahaina,20.8783,-156.6825,81.64,74,40,9.22,US,scattered clouds,2021-05-21 23:01:55
178,Shimanovsk,52.0,127.7,53.37,82,92,7.34,RU,overcast clouds,2021-05-21 23:03:39
179,Vila Franca Do Campo,37.7167,-25.4333,59.41,67,100,7.87,PT,overcast clouds,2021-05-21 23:03:39
180,Manzhouli,49.6,117.4333,49.98,70,100,13.82,CN,overcast clouds,2021-05-21 23:03:39
181,Alofi,-19.0595,-169.9187,79.74,81,100,19.35,NU,overcast clouds,2021-05-21 23:03:40
182,Sao Francisco,-15.9486,-44.8644,74.98,41,6,3.87,BR,clear sky,2021-05-21 23:03:40
183,Cap Malheureux,-19.9842,57.6142,73.67,67,26,23.04,MU,scattered clouds,2021-05-21 23:01:07
184,Gobabis,-22.45,18.9667,53.53,50,3,12.5,NA,clear sky,2021-05-21 23:03:40
185,Barrow,71.2906,-156.7887,30.22,86,90,20.71,US,overcast clouds,2021-05-21 23:03:41
186,Keti Bandar,24.1447,67.4497,83.84,79,67,16.75,PK,broken clouds,2021-05-21 23:03:41
187,Kokoda,-8.8785,147.7407,80.78,82,94,2.59,PG,overcast clouds,2021-05-21 23:03:41
188,Portland,45.5234,-122.6762,70.95,55,75,1.99,US,broken clouds,2021-05-21 23:03:41
189,Westport,41.1415,-73.3579,78.35,54,1,8.93,US,clear sky,2021-05-21 23:03:05
190,Ostersund,63.1792,14.6357,45.05,76,40,5.75,SE,scattered clouds,2021-05-21 23:03:42
191,Grants,35.1473,-107.8514,64.63,42,75,19.57,US,broken clouds,2021-05-21 23:03:42
192,Gat,31.61,34.7642,68.92,87,0,3.58,IL,clear sky,2021-05-21 23:03:42
193,Comodoro Rivadavia,-45.8667,-67.5,52.34,96,100,3.27,AR,overcast clouds,2021-05-21 23:01:28
194,Maidens,55.3338,-4.8147,45.55,78,100,6.89,GB,light rain,2021-05-21 23:03:42
195,Raudeberg,61.9875,5.1352,47.07,86,87,11.16,NO,overcast clouds,2021-05-21 23:03:43
196,Bilibino,68.0546,166.4372,33.76,93,100,2.86,RU,light rain,2021-05-21 23:03:43
197,Saint-Philippe,-21.3585,55.7679,71.15,70,84,14.5,RE,broken clouds,2021-05-21 23:03:43
198,Oshnaviyeh,37.0397,45.0983,63.21,32,3,3.47,IR,clear sky,2021-05-21 23:03:43
199,Fort Nelson,58.8053,-122.7002,69.94,21,20,5.12,CA,few clouds,2021-05-21 23:00:11
200,Waingapu,-9.6567,120.2641,76.82,83,62,5.95,ID,broken clouds,2021-05-21 23:03:44
201,Paraiso,9.8383,-83.8656,74.26,93,98,3.71,CR,light rain,2021-05-21 23:03:44
202,Canico,32.6333,-16.85,66.83,78,20,13.82,PT,few clouds,2021-05-21 23:03:44
203,Asfi,32.2994,-9.2372,67.87,69,78,19.17,MA,broken clouds,2021-05-21 23:03:45
204,Labuhan,-6.8844,112.2051,76.6,88,15,6.35,ID,few clouds,2021-05-21 23:03:45
205,Hasaki,35.7333,140.8333,66.6,84,100,16.15,JP,moderate rain,2021-05-21 23:03:45
206,Tessalit,20.1986,1.0114,90.1,25,83,15.32,ML,broken clouds,2021-05-21 23:03:45
207,Vaxjo,56.8777,14.8091,45.72,100,90,2.3,SE,overcast clouds,2021-05-21 23:03:46
208,Kushima,31.4583,131.2333,60.12,84,100,6.96,JP,overcast clouds,2021-05-21 23:03:46
209,Itum-Kale,42.7356,45.5758,68.68,53,93,9.06,RU,overcast clouds,2021-05-21 23:03:46
210,Quatre Cocos,-20.2078,57.7625,71.71,69,38,19.57,MU,light rain,2021-05-21 23:03:46
211,Marystown,47.1666,-55.1483,45.34,89,35,9.53,CA,scattered clouds,2021-05-21 23:03:47
212,Salalah,17.0151,54.0924,80.19,83,82,3.47,OM,broken clouds,2021-05-21 23:03:47
213,Chokurdakh,70.6333,147.9167,29.48,90,100,4.18,RU,overcast clouds,2021-05-21 23:03:47
214,Vyshchetarasivka,47.5685,34.881,56.37,80,95,14.56,UA,overcast clouds,2021-05-21 23:03:47
215,Kupang,-10.1667,123.5833,75.78,94,20,6.91,ID,few clouds,2021-05-21 23:03:48
216,Shimoda,34.6667,138.95,67.15,86,100,16.06,JP,moderate rain,2021-05-21 23:03:48
217,Magadan,59.5667,150.8,39.31,74,19,2.26,RU,few clouds,2021-05-21 23:03:48
218,Port Elizabeth,-33.918,25.5701,55.69,67,0,13.8,ZA,clear sky,2021-05-21 22:59:46
219,Karlskrona,56.1616,15.5866,45.05,92,100,6.96,SE,overcast clouds,2021-05-21 23:03:49
220,Northam,51.0333,-4.2167,51.39,93,100,12.62,GB,light rain,2021-05-21 23:03:46
221,San Policarpo,12.1791,125.5072,81.36,79,24,2.17,PH,few clouds,2021-05-21 23:03:49
222,Bama,11.5221,13.6856,86.41,48,58,8.66,NG,broken clouds,2021-05-21 23:03:49
223,Nedryhayliv,50.834,33.8763,47.17,86,6,3.0,UA,clear sky,2021-05-21 23:03:50
224,Olinda,-8.0089,-34.8553,78.53,70,20,10.51,BR,few clouds,2021-05-21 23:03:50
225,Victoria,22.2855,114.1577,86.97,85,40,1.99,HK,scattered clouds,2021-05-21 23:01:06
226,Strezhevoy,60.7333,77.5889,49.98,92,75,8.95,RU,broken clouds,2021-05-21 23:03:50
227,Sibolga,1.7427,98.7792,76.59,89,99,3.04,ID,overcast clouds,2021-05-21 23:03:50
228,Manosque,43.8288,5.7869,59.76,95,100,3.09,FR,overcast clouds,2021-05-21 23:03:51
229,Mount Isa,-20.7333,139.5,69.57,40,75,3.44,AU,broken clouds,2021-05-21 23:00:54
